Rank,City,Population(2011)[5],Population(2001),State or union territory
47,Guwahati,"963,429","809,895",Assam
48,Chandigarh,"960,787","808,515",Chandigarh
49,Thiruvananthapuram,"957,730","744,983",Kerala
50,Solapur,"951,118","872,478",Maharashtra
51,Hubballi-Dharwad,"943,857","786,195",Karnataka
52,Tiruchirappalli[6],"916,674","752,066",Tamil Nadu
53,Tiruppur,"898,167","718,395",Tamil Nadu
54,Moradabad,"889,810","641,583",Uttar Pradesh
55,Mysore,"887,446","755,379",Karnataka
56,Bareily,"877,778","344,543",Uttar Pradesh
57,Gurgaon,"876,824","173,542",Haryana
58,Aligarh,"872,575","669,087",Uttar Pradesh
59,Jalandhar,"862,196","706,043",Punjab
60,Bhubaneswar,"837,737","648,032",Odisha
61,Salem,"831,038","696,760",Tamil Nadu
62,Mira-Bhayandar,"814,655","520,388",Maharashtra
63,Warangal[7],"811,844","530,636",Telangana
64,Guntur[8],"743,354","514,461",Andhra Pradesh
65,Bhiwandi,"711,329","598,741",Maharashtra
66,Saharanpur,"703,345","455,754",Uttar Pradesh
67,Gorakhpur,"671,048","622,701",Uttar Pradesh
68,Bikaner,"647,804","529,690",Rajasthan
69,Amravati,"646,801","549,510",Maharashtra
70,Noida,"642,381","305,058",Uttar Pradesh
71,Jamshedpur,"631,364","573,096",Jharkhand
72,Bhilai,"625,697","556,366",Chhattisgarh
73,Cuttack,"606,007","534,654",Odisha
74,Firozabad,"603,797","279,102",Uttar Pradesh
75,Kochi,"601,574","596,473",Kerala
76,Nellore[9],"600,869","378,428",Andhra Pradesh
77,Bhavnagar,"593,768","511,085",Gujarat
78,Dehradun,"578,420","426,674",Uttarakhand
79,Durgapur,"566,937","493,405",West Bengal
80,Asansol,"564,491","475,439",West Bengal
81,Rourkela,"552,970","430,733",Odisha
82,Nanded,"550,564","430,733",Maharashtra
83,Kolhapur,"549,283","493,167",Maharashtra
84,Ajmer,"542,580","485,575",Rajasthan
85,Akola,"537,149","400,520",Maharashtra
86,Gulbarga,"532,031","422,569",Karnataka
87,Jamnagar,"529,308","443,518",Gujarat
88,Ujjain,"515,215","430,427",Madhya Pradesh
89,Loni,"512,296","120,945",Uttar Pradesh
90,Siliguri,"509,709","472,374",West Bengal
91,Jhansi,"507,293","383,644",Uttar Pradesh
92,Ulhasnagar,"506,937","473,731",Maharashtra
93,Jammu,"503,690","369,959",Jammu and Kashmir
94,Sangli-Miraj & Kupwad,"502,697","436,781",Maharashtra
95,Mangalore,"499,486","399,565",Karnataka
96,Erode[10],"498,129","173,600",Tamil Nadu
97,Belgaum,"488,292","399,653",Karnataka
98,Ambattur,"478,134","310,967",Tamil Nadu
99,Tirunelveli,"473,637","411,831",Tamil Nadu
100,Malegaon,"471,006","409,403",Maharashtra
101,Gaya,"463,454","385,432",Bihar
102,Jalgaon,"460,468","368,618",Maharashtra
103,Udaipur,"451,735","389,438",Rajasthan
104,Maheshtala,"449,423","385,266",West Bengal
105,Davanagere,"435,128","364,523",Karnataka
106,Kozhikode,"432,097","436,556",Kerala
107,Kurnool,"430,214","269,122",Andhra Pradesh
108,Rajpur Sonarpur,"423,806","336,707",West Bengal
109,Rajahmundry[11][12],"419,818","315,251",Andhra Pradesh
110,Bokaro,"413,934","393,805",Jharkhand
111,South Dumdum,"410,524","392,444",West Bengal
112,Bellary,"409,644","316,766",Karnataka
113,Patiala,"405,164","303,151",Punjab
114,Gopalpur,"404,991","271,811",West Bengal
115,Agartala,"399,688","271,811",Tripura
116,Bhagalpur,"398,138","340,767",Bihar
117,Muzaffarnagar,"392,451","316,729",Uttar Pradesh
118,Bhatpara,"390,467","442,385",West Bengal
